key	value
50,0,,9,998,1605,1079,1769	80,,). 
50,0,,10,3021,1778,3188,1962	97,7, 
50,0,,10,1892,1778,1948,1962	96,,. 
50,0,,11,1224,1973,1296,2132	97,,(
50,0,,11,1128,1973,1224,2132	100,15, 
50,0,,11,334,1973,358,2132	93,,،
50,0,,12,496,2141,562,2303	100,,؟ 
50,0,,14,1984,2528,2045,2688	75,,، 
50,0,,15,2124,2697,2197,2872	100,,، 
50,0,,15,744,2697,787,2872	100,,(
50,0,,15,600,2697,723,2872	100,1,) 
50,0,,15,550,2697,600,2872	100,,. 
50,0,,16,1629,2881,1678,3054	86,,(
50,0,,16,1501,2881,1605,3054	100,2,) 
50,0,,16,1171,2881,1232,3054	100,,، 
50,0,,17,1864,3063,1923,3226	76,,، 
50,0,,18,3012,3235,3194,3470	84,8, 
50,0,,18,2728,3235,2789,3470	100,,، 
50,0,,18,1727,3235,1809,3470	88,,، 
50,0,,18,814,3235,862,3470	100,,(
50,0,,18,760,3235,781,3470	100,, 
50,0,,18,713,3235,760,3470	100,,-
50,0,,18,530,3235,652,3470	98,,) 
51,0,,1,1889,101,2027,202	92,,- 
51,0,,1,1765,101,1888,202	96,51, 
51,0,,2,1936,303,1966,494	98,,،
51,0,,3,1919,527,1945,705	93,,(
51,0,,3,1830,527,1881,705	95,,) 
51,0,,3,1797,527,1829,705	94,,. 
51,0,,3,999,527,1030,705	100,,، 
51,0,,4,2167,720,2206,901	100,,: 
51,0,,4,2122,720,2168,901	99,,«
51,0,,4,1083,720,1147,901	100,,؟ 
51,0,,5,2371,928,2431,1104	100,,. 
51,0,,5,673,928,733,1104	100,,. 
51,0,,6,857,1115,914,1296	100,,. 
51,0,,7,2640,1319,2701,1496	98,,؛ 
51,0,,7,1884,1319,1938,1496	92,,. 
51,0,,8,1746,1505,1802,1693	83,,. 
51,0,,9,2446,1714,2500,1889	100,,، 
51,0,,9,526,1714,550,1889	98,,.
51,0,,10,2289,1898,2308,2090	100,,(
51,0,,10,2193,1898,2250,2090	96,,) 
51,0,,11,1857,2099,1884,2279	53,,(
51,0,,11,1753,2099,1818,2279	100,,) 
51,0,,11,1401,2099,1466,2279	100,,؛ 
51,0,,11,964,2099,1010,2279	100,,(
51,0,,11,892,2099,944,2279	100,4,) 
51,0,,12,2189,2304,2215,2480	100,,(
51,0,,12,2090,2304,2150,2480	94,,) 
51,0,,12,1587,2304,1614,2480	69,,(
51,0,,12,1481,2304,1548,2480	100,,) 
51,0,,12,661,2304,761,2480	100,,? 
51,0,,13,816,2489,904,2679	100,,. 
51,0,,14,2543,2688,2598,2877	100,,: 
51,0,,14,335,2688,369,2877	100,9,
51,0,,15,1980,2920,2051,3090	98,,؛ 
51,0,,15,1463,2920,1541,3090	100,,- 
51,0,,15,1101,2920,1190,3090	98,,- 
51,0,,16,3134,3099,3201,3285	100,,(
51,0,,16,3042,3099,3076,3285	98,, 
51,0,,16,2892,3099,3043,3285	100,,- 
51,0,,16,2766,3099,2891,3285	100,,) 
51,0,,16,1263,3099,1329,3285	100,,؛ 
51,0,,17,2138,3296,2174,3482	91,,، 
51,0,,17,936,3296,979,3482	100,,. 
51,0,,18,1147,3493,1183,3677	100,,. 
51,0,,19,1367,3688,1402,3868	100,,،
52,0,,1,1707,99,1806,198	66,, 
52,0,,1,1753,99,1800,198	97,5,([ 
52,0,,1,1592,99,1859,198	22,,-
52,0,,2,1720,303,1775,486	78,,. 
52,0,,3,2536,497,2604,684	86,,، 
52,0,,3,2316,497,2350,684	100,,(
52,0,,3,2223,497,2276,684	100,,) 
52,0,,4,2588,697,2648,889	96,,. 
52,0,,5,1405,906,1487,1083	100,,، 
52,0,,5,653,906,715,1083	100,,، 
52,0,,6,2736,1106,2797,1283	100,,. 
52,0,,6,1964,1106,1988,1283	55,,(
52,0,,6,1857,1106,1919,1283	100,,) 
52,0,,6,534,1106,565,1283	100,,(
52,0,,6,427,1106,489,1283	98,,)،
52,0,,7,2277,1292,2296,1474	94,,.
52,0,,7,427,1292,453,1474	89,,.
52,0,,8,2450,1517,2483,1691	58,,(
52,0,,8,2357,1517,2410,1691	100,,) 
52,0,,8,1142,1517,1202,1691	98,,. 
52,0,,9,2046,1712,2113,1891	100,,. 
52,0,,9,1270,1712,1330,1891	96,,، 
52,0,,9,427,1712,451,1891	98,,،
52,0,,10,1757,1914,1813,2087	98,,. 
52,0,,10,653,1914,740,2087	100,,، 
52,0,,11,2386,2096,2453,2280	100,,. 
52,0,,11,1703,2096,1763,2280	53,,(
52,0,,11,1544,2096,1629,2280	99,,-
52,0,,11,1385,2096,1470,2280	100,,) 
52,0,,12,2502,2309,2569,2469	96,,، 
52,0,,12,427,2309,451,2469	100,,.
52,0,,13,1467,2490,1496,2677	98,,(
52,0,,13,1337,2490,1425,2677	96,,) 
52,0,,13,1116,2490,1180,2677	74,,، 
52,0,,13,944,2490,965,2677	100,,(
52,0,,13,836,2490,900,2677	98,,) 
52,0,,14,2604,2702,2703,2891	100,7,) 
52,0,,14,1745,2702,1806,2891	90,,، 
52,0,,14,1004,2702,1073,2891	100,,. 
52,0,,15,2303,2908,2405,3078	96,8,) 
52,0,,15,2092,2908,2120,3078	99,,.
52,0,,17,2889,3348,2918,3534	99,,،
52,0,,17,1215,3348,1257,3534	100,,. 
52,0,,17,902,3348,973,3534	90,1,) 
52,0,,18,929,3559,975,3726	98,,؛ 
52,0,,19,509,3755,556,3919	100,,(
52,0,,19,427,3755,447,3919	99,,)
53,0,,1,1872,99,1983,198	100,, 
53,0,,2,2596,317,2627,508	99,,(
53,0,,2,2496,317,2558,508	100,,) 
53,0,,2,1389,317,1476,508	97,,. 
53,0,,3,1292,525,1359,698	100,,، 
53,0,,3,896,525,918,698	100,,(
53,0,,3,790,525,857,698	100,,) 
53,0,,3,510,525,544,698	94,,،
53,0,,4,576,707,601,892	100,,(
53,0,,4,505,707,531,892	100,,)
53,0,,5,2903,917,2988,1099	100,,- 
53,0,,5,2170,917,2255,1099	98,,- 
53,0,,5,1369,917,1436,1099	98,,. 
53,0,,6,1921,1108,1985,1295	98,,. 
53,0,,6,1149,1108,1213,1295	95,,(
53,0,,6,1065,1108,1091,1295	100,, 
53,0,,6,955,1108,1064,1295	100,,- 
53,0,,7,1422,1304,1487,1485	100,,. 
53,0,,7,619,1304,684,1485	96,,، 
53,0,,9,1960,1714,2024,1896	100,,، 
53,0,,10,2441,1921,2472,2089	98,,. 
53,0,,10,1329,1921,1390,2089	92,,. 
53,0,,11,2611,2110,2667,2295	100,,، 
53,0,,13,1579,2504,1641,2691	100,,. 
53,0,,13,349,2504,386,2691	100,,.
53,0,,14,2345,2704,2375,2891	94,,، 
53,0,,15,2096,2902,2132,3076	96,,. 
53,0,,16,2416,3109,2455,3276	98,,. 
53,0,,16,1405,3109,1438,3276	80,,(
53,0,,16,1315,3109,1367,3276	82,,) 
53,0,,17,2253,3295,2284,3474	100,,(
53,0,,17,2158,3295,2214,3474	100,,) 
53,0,,17,1061,3295,1099,3474	88,,. 
53,0,,18,3074,3483,3106,3649	100,,: 
53,0,,18,2210,3483,2236,3649	100,,،
53,0,,18,1280,3483,1333,3649	100,,. 
53,0,,19,2624,3658,2657,3833	100,,،
53,0,,19,1071,3658,1124,3833	100,,(
53,0,,19,896,3658,1032,3833	100,,-) 
53,0,,20,1814,3842,1851,4003	99,,، 
54,0,,1,1604,99,1706,205	63,, 
54,0,,1,1648,99,1696,205	100,54, 
54,0,,1,1493,99,1757,205	67,,-
54,0,,2,2423,302,2495,491	100,ً,، 
54,0,,2,1570,302,1594,491	100,,(
54,0,,2,1467,302,1533,491	100,,) 
54,0,,3,2765,514,2821,677	100,,، 
54,0,,3,2533,514,2558,677	67,,(
54,0,,3,2433,514,2495,677	100,,) 
54,0,,4,3004,692,3164,881	85,11, 
54,0,,4,2127,692,2187,881	100,,. 
54,0,,5,2001,890,2072,1080	100,,. 
54,0,,5,1054,890,1090,1080	98,,(
54,0,,5,962,890,1019,1080	94,,) 
54,0,,5,322,890,350,1080	97,,.
54,0,,6,2206,1089,2269,1273	100,,. 
54,0,,6,2040,1089,2075,1273	100,,(
54,0,,6,1936,1089,2005,1273	74,,) 
54,0,,6,745,1089,772,1273	86,,(
54,0,,6,662,1089,710,1273	100,,) 
54,0,,7,2194,1282,2251,1464	100,,، 
54,0,,7,1423,1282,1479,1464	100,,، 
54,0,,8,2706,1479,2735,1662	71,,.
54,0,,8,653,1479,709,1662	100,,، 
54,0,,9,2392,1675,2452,1858	93,,، 
54,0,,9,1526,1675,1555,1858	94,,.
54,0,,10,1248,1947,1279,2133	99,,(
54,0,,10,1134,1947,1209,2133	100,,) 
54,0,,10,1070,1947,1133,2133	96,,؛ 
54,0,,11,322,2176,345,2336	89,,،
54,0,,12,1202,2377,1224,2558	100,,(
54,0,,12,1101,2377,1170,2558	100,,) 
54,0,,12,1037,2377,1101,2558	100,,(
54,0,,12,952,2377,983,2558	100,, 
54,0,,12,802,2377,951,2558	100,,- 
54,0,,12,685,2377,802,2558	100,,) 
54,0,,12,322,2377,343,2558	99,,.
54,0,,13,772,2567,830,2764	94,,. 
54,0,,14,1799,2785,1859,2954	66,,. 
54,0,,15,703,2981,734,3158	100,,. 
54,0,,16,2451,3177,2518,3344	98,,، 
54,0,,16,1971,3177,2001,3344	100,,(
54,0,,16,1886,3177,1934,3344	96,,) 
54,0,,16,1551,3177,1581,3344	100,,. 
54,0,,17,2999,3361,3181,3551	98,13, 
54,0,,17,2144,3361,2207,3551	100,,، 
54,0,,17,1121,3361,1156,3551	84,,. 
54,0,,17,799,3361,855,3551	99,,) 
54,0,,17,511,3361,623,3551	76,6,) 
54,0,,18,2687,3572,2723,3731	100,,؛ 
54,0,,18,1699,3572,1754,3731	98,,، 
54,0,,18,1436,3572,1529,3731	100,1,) 
54,0,,18,404,3572,434,3731	100,,.
55,0,,1,1790,97,1847,184	100,, 
55,0,,1,1634,97,1790,184	100,, 
55,0,,2,731,297,825,480	100,,. 
55,0,,3,2412,503,2440,685	100,,(
55,0,,3,2315,503,2370,685	100,,) 
55,0,,3,1393,503,1448,685	100,,؛ 
55,0,,3,1220,503,1247,685	100,,(
55,0,,3,1122,503,1178,685	93,,) 
55,0,,3,574,503,644,685	100,,. 
55,0,,4,1176,716,1271,909	100,,، 
55,0,,5,2764,942,2832,1122	80,,. 
55,0,,5,1454,942,1514,1122	100,,. 
55,0,,5,658,942,759,1122	96,,: 
55,0,,6,1841,1131,1895,1309	94,,؟ 
55,0,,6,621,1131,687,1309	90,,: 
55,0,,7,2309,1338,2375,1514	100,,، 
55,0,,7,1744,1338,1804,1514	92,,. 
55,0,,8,2814,1523,2866,1709	100,,. 
55,0,,8,1897,1523,1923,1709	92,,(
55,0,,8,1807,1523,1852,1709	83,,) 
55,0,,9,3057,1730,3113,1906	72,,(
55,0,,9,2961,1730,2999,1906	99,, 
55,0,,9,2872,1730,2961,1906	100,,- 
55,0,,9,2733,1730,2872,1906	100,1,) 
55,0,,9,2282,1730,2307,1906	72,,(
55,0,,9,2174,1730,2237,1906	98,,) 
55,0,,9,1901,1730,1932,1906	98,,(
55,0,,9,1799,1730,1863,1906	95,,) 
55,0,,9,1368,1730,1437,1906	98,,؛ 
55,0,,10,1835,1915,1902,2137	88,,- 
55,0,,11,2557,2146,2637,2299	100,,- 
55,0,,11,1680,2146,1748,2299	83,,. 
55,0,,11,422,2146,447,2299	91,,،
55,0,,12,1424,2308,1457,2494	100,,(
55,0,,12,1325,2308,1392,2494	100,,) 
55,0,,13,2594,2513,2654,2682	100,,، 
55,0,,13,1964,2513,2023,2682	100,,«
55,0,,14,2740,2697,2804,2883	81,,: 
55,0,,14,1967,2697,2031,2883	78,,. 
55,0,,14,1452,2697,1523,2883	100,,) 
55,0,,15,2112,2896,2170,3082	100,,. 
55,0,,15,1143,2896,1169,3082	93,,(
55,0,,15,1053,2896,1105,3082	100,,) 
55,0,,15,695,2896,747,3082	100,,؛ 
55,0,,16,2682,3113,2710,3281	99,,.
55,0,,17,2755,3362,2780,3537	100,,(
55,0,,17,2653,3362,2717,3537	84,,) 
55,0,,17,594,3362,689,3537	100,,، 
55,0,,18,705,3546,763,3699	100,,. 
55,0,,19,1392,3708,1417,3864	99,,:
56,0,,1,1606,99,1712,202	100,, 
56,0,,1,1495,99,1696,202	98,56, 
56,0,,2,2858,311,3185,486	99,13, 
56,0,,5,1199,979,1229,1158	93,,،
56,0,,5,1006,979,1030,1158	100,,(
56,0,,5,898,979,964,1158	100,,) 
56,0,,5,639,979,693,1158	100,,(
56,0,,5,573,979,597,1158	100,, 
56,0,,5,410,979,573,1158	100,,- 
56,0,,5,320,979,410,1158	94,,)
56,0,,6,1680,1167,1740,1345	91,,، 
56,0,,6,1087,1167,1113,1345	100,,(
56,0,,6,973,1167,1047,1345	85,,) 
56,0,,6,893,1167,974,1345	100,,. 
56,0,,7,1443,1362,1507,1542	100,,. 
56,0,,8,2076,1555,2164,1746	100,,، 
56,0,,8,1414,1555,1494,1746	85,,: 
56,0,,8,1369,1555,1413,1746	88,,«
56,0,,9,3014,1755,3185,1927	96,14, 
56,0,,10,2415,1936,2498,2111	90,,، 
56,0,,10,2359,1936,2415,2111	98,,. 
56,0,,10,1152,1936,1173,2111	58,,(
56,0,,10,1055,1936,1111,2111	90,,) 
56,0,,10,320,1936,348,2111	94,,،
56,0,,11,2187,2120,2249,2311	100,,، 
56,0,,11,1768,2120,1829,2311	87,,، 
56,0,,11,1362,2120,1423,2311	96,,: 
56,0,,11,563,2120,651,2311	98,,: 
56,0,,12,872,2320,898,2509	97,,.
56,0,,13,322,2570,349,2753	89,,:
56,0,,14,2738,2780,2772,2975	100,, 
56,0,,14,2018,2780,2094,2975	100,,، 
56,0,,14,1683,2780,1717,2975	97,,(
56,0,,14,1587,2780,1649,2975	93,,) 
56,0,,14,1094,2780,1121,2975	99,,(
56,0,,14,998,2780,1060,2975	100,,) 
56,0,,14,498,2780,594,2975	98,,. 
56,0,,15,2549,3028,2578,3194	99,,.
56,0,,16,2164,3251,2231,3435	100,,: 
56,0,,16,1051,3251,1111,3435	100,,(
56,0,,16,862,3251,977,3435	96,,- 
56,0,,16,722,3251,861,3435	100,1,) 
56,0,,17,1647,3444,1749,3635	100,,، 
56,0,,18,2342,3650,2398,3832	96,,، 
56,0,,18,651,3650,707,3832	100,,. 
56,0,,19,1799,3849,1826,4013	98,,(
56,0,,19,1695,3849,1760,4013	99,,) 
56,0,,19,560,3849,586,4013	97,,:
57,0,,1,1267,99,1372,198	100,, 
57,0,,1,1312,99,1363,198	98,5ٔ, 
57,0,,1,1161,99,1423,198	89,,-
57,0,,2,2253,309,2279,477	99,,(
57,0,,2,2157,309,2208,477	100,,) 
57,0,,2,1401,309,1466,477	97,,، 
57,0,,2,872,309,878,477	100,,.
57,0,,3,1447,504,1475,678	98,,.
57,0,,4,1223,701,1252,875	85,,.
57,0,,5,1240,898,1267,1070	99,,.
57,0,,6,1832,1097,1862,1268	68,,(
57,0,,6,1735,1097,1795,1268	93,,) 
57,0,,6,1082,1097,1112,1268	96,,.
57,0,,7,1324,1291,1351,1463	87,,.
57,0,,8,1318,1488,1346,1660	98,,.
57,0,,9,1319,1705,1344,1876	99,,.
57,0,,10,1407,1921,1434,2090	100,,.
57,0,,11,1417,2125,1443,2307	100,,.
57,0,,12,1369,2332,1397,2505	99,,.
57,0,,13,1349,2548,1378,2721	94,,.
57,0,,14,1369,2764,1397,2937	80,,.
57,0,,15,1232,2960,1260,3133	98,,.
57,0,,16,1404,3158,1429,3331	100,,.
57,0,,17,1304,3356,1332,3526	96,,.
57,0,,18,1334,3553,1358,3724	100,,.
57,0,,19,1260,3751,1288,3924	99,,.
57,0,,20,1423,3941,1451,4113	97,,.
58,0,,1,1646,101,1752,201	100,, 
58,0,,1,1538,101,1715,201	100,5, 
58,0,,2,1715,318,1753,487	96,,(
58,0,,2,1476,318,1659,487	87,,- 
58,0,,2,1339,318,1477,487	100,,) 
58,0,,2,1313,318,1338,487	99,,.
58,0,,3,1624,496,1652,666	98,,.
58,0,,4,1688,675,1716,845	88,,.
58,0,,5,1679,854,1706,1024	98,,.
58,0,,6,1675,1035,1701,1204	100,,.
58,0,,7,1764,1213,1788,1382	99,,.
58,0,,8,2306,1391,2339,1560	96,,(
58,0,,8,2200,1391,2267,1560	76,,) 
58,0,,9,2317,1569,2337,1738	52,,(
58,0,,9,2212,1569,2278,1738	100,,) 
58,0,,9,1697,1569,1724,1738	99,,.
58,0,,10,1687,1839,1719,2011	98,,(
58,0,,10,1621,1839,1648,2011	100,, 
58,0,,10,1595,1839,1621,2011	100,,)
58,0,,10,1296,1839,1400,2011	100,,. 
58,0,,11,2917,2026,2944,2209	99,,(
58,0,,11,2810,2026,2877,2209	100,,) 
58,0,,11,638,2026,706,2209	100,,. 
58,0,,12,2611,2232,2679,2402	100,,، 
58,0,,12,1704,2232,1772,2402	100,,، 
58,0,,12,371,2232,394,2402	96,,،
58,0,,13,1294,2427,1319,2603	99,,.
58,0,,14,2719,2630,2745,2772	84,,(
58,0,,14,2617,2630,2678,2772	76,,) 
58,0,,14,2362,2630,2416,2772	98,,:
58,0,,15,2367,3019,2794,3216	99,, 
58,0,,15,2288,3019,2367,3216	100,2, 
58,0,,15,2166,3019,2289,3216	100,,- 
58,0,,16,2918,3433,3151,3620	99,2, 
58,0,,17,2694,3629,2737,3808	100,,: 
58,0,,17,371,3629,390,3808	55,,،
58,0,,18,1028,3833,1066,3999	94,,. 
59,0,,1,1712,99,1813,201	100,, 
59,0,,1,1751,99,1801,201	98,59, 
59,0,,1,1602,99,1867,201	99,,-
59,0,,2,2671,300,2692,503	100,,(
59,0,,2,2557,300,2632,503	96,,) 
59,0,,2,1238,300,1320,503	100,,. 
59,0,,3,1548,512,1603,681	100,,(
59,0,,3,1452,512,1486,681	96,, 
59,0,,3,1356,512,1453,681	88,,- 
59,0,,3,1220,512,1357,681	86,1,) 
59,0,,4,2099,696,2192,879	99,,- 
59,0,,4,1563,696,1650,879	100,,- 
59,0,,5,2742,900,2801,1072	100,,. 
59,0,,5,2052,900,2117,1072	100,,، 
59,0,,6,2327,1085,2376,1272	82,,. 
59,0,,7,1320,1285,1348,1466	93,,(
59,0,,7,1205,1285,1280,1466	98,,) 
59,0,,7,1144,1285,1205,1466	99,,، 
59,0,,7,805,1285,894,1466	100,,: 
59,0,,7,583,1285,617,1466	99,,(
59,0,,7,488,1285,549,1466	68,,) 
59,0,,8,2749,1475,2775,1652	89,,(
59,0,,8,2652,1475,2711,1652	100,,) 
59,0,,8,1546,1475,1604,1652	99,,،؛ 
59,0,,8,862,1475,888,1652	55,,(
59,0,,8,758,1475,824,1652	100,,) 
59,0,,9,2474,1681,2541,1859	100,,: 
59,0,,9,427,1681,451,1859	99,,،
59,0,,11,2613,2063,2665,2233	82,,. 
59,0,,11,1064,2063,1130,2233	100,,. 
59,0,,12,1030,2260,1063,2447	98,,(
59,0,,12,936,2260,996,2447	100,,) 
59,0,,12,587,2260,655,2447	100,,، 
59,0,,14,2679,2666,2742,2839	86,,: 
59,0,,14,1339,2666,1400,2839	100,,، 
59,0,,14,996,2666,1058,2839	99,,(
59,0,,14,904,2666,940,2839	100,, 
59,0,,14,759,2666,903,2839	100,,- 
59,0,,14,686,2666,758,2839	100,, 
59,0,,14,645,2666,686,2839	87,,) 
59,0,,15,2165,2850,2230,3034	98,,. 
59,0,,16,2836,3047,2873,3215	100,,. 
59,0,,16,996,3047,1051,3215	100,,، 
59,0,,17,2302,3236,2392,3422	100,,: 
59,0,,17,1394,3236,1425,3422	86,,. 
59,0,,17,762,3236,826,3422	100,,؛ 
59,0,,18,1280,3435,1318,3617	100,,، 
59,0,,19,2881,3636,2907,3803	99,,.
59,0,,19,1355,3636,1413,3803	99,,) 
59,0,,20,2847,3828,2879,4004	74,,. 
59,0,,20,427,3828,453,4004	87,,،
60,0,,1,1674,100,1731,203	89,, 
60,0,,1,1780,100,1673,203	100,, 
60,0,,1,1518,100,1780,203	95,,-
60,0,,2,337,304,364,491	99,,.
60,0,,3,2336,526,2363,696	100,,(
60,0,,3,2236,526,2296,696	100,,) 
60,0,,3,2075,526,2103,696	99,,(
60,0,,3,1975,526,2036,696	100,,) 
60,0,,3,724,526,819,696	86,,. 
60,0,,4,1908,713,1972,896	100,,، 
60,0,,5,2378,909,2434,1094	100,,: 
60,0,,6,1963,1123,2008,1304	99,,«
60,0,,7,1610,1313,1671,1496	78,,، 
60,0,,8,1901,1513,1966,1697	92,,. 
60,0,,8,984,1513,1063,1697	74,,(
60,0,,8,872,1513,964,1697	100,0, 
60,0,,8,812,1513,871,1697	100,,-
60,0,,8,654,1513,739,1697	80,,) 
60,0,,9,2689,1708,2779,1890	98,,، 
60,0,,9,1314,1708,1378,1890	98,,. 
60,0,,10,1708,1905,1771,2092	100,,. 
60,0,,11,3018,2101,3189,2290	88,3, 
60,0,,11,1481,2101,1576,2290	99,,. 
60,0,,11,528,2101,616,2290	74,,. 
60,0,,12,1031,2303,1099,2485	100,,. 
60,0,,12,884,2303,918,2485	100,,(
60,0,,12,791,2303,845,2485	100,,) 
60,0,,13,918,2494,942,2680	100,,(
60,0,,13,807,2494,880,2680	100,,) 
60,0,,13,722,2494,807,2680	76,,. 
60,0,,16,2520,3082,2554,3271	100,,،
60,0,,16,2304,3082,2332,3271	100,,(
60,0,,16,2207,3082,2269,3271	100,,) 
60,0,,16,1380,3082,1408,3271	100,,.
60,0,,17,2114,3280,2150,3457	72,,؛ 
60,0,,17,586,3280,627,3457	100,,: 
60,0,,18,2520,3466,2546,3645	91,,،
